Country,Male,Female
Afghanistan,2.7,6.2
Albania,21.9,22.8
Algeria,19.4,34
Andorra,27.9,28.1
Angola,3.5,10
Antigua and Barbuda,11.7,26.3
Argentina,27.4,29.6
Armenia,17.2,24.5
Australia,30.7,30.1
Austria,23.4,20.6
Azerbaijan,15.7,23.9
Bahamas,24.8,39
Bahrain,24.9,36.1
Bangladesh,2.2,4.6
Barbados,15.6,33.8
Belarus,23.5,29.1
Belgium,25.1,23.9
Belize,15.4,29.4
Benin,4.2,12.2
Bhutan,4.5,7.4
Bolivia,13.4,23.9
Bosnia and Herzegovina,18.1,20.6
Botswana,7,25.5
Brazil,18.5,25.9
Brunei Darussalam,13,16.4
Bulgaria,27.5,27.4
Burkina Faso,2.2,6.8
Burundi,1.8,7
Cabo Verde,6.3,14.9
Cambodia,2.5,4.5
Cameroon,5.2,13.9
Canada,31.2,31.5
Central African Republic,3.2,9.3
Chad,2.6,7
Chile,25.5,32.1
China,6.2,7.1
Colombia,17.3,26.7
Comoros,3,10.8
Congo,4.9,11.8
Cook Islands,52,58.6
Costa Rica,21,30.4
Côte d'Ivoire,5.2,13.1
Croatia,26,28.2
Cuba,20.4,33
Cyprus,22.4,22.8
Czech Republic,28.5,28.6
Democratic People's Republic of Korea,6.4,7.8
Democratic Republic of the Congo,3.1,8
Denmark,23.7,18.9
Djibouti,7.9,16.5
Dominica,20,36
Dominican Republic,20.4,33.2
Ecuador,14.4,24.1
Egypt,22,40
El Salvador,17.1,27.4
Equatorial Guinea,3.6,11.4
Eritrea,1.8,6.3
Estonia,21.9,25.3
Eswatini,4.4,22.2
Ethiopia,1.6,5.6
Fiji,24.9,35.3
Finland,25.7,24.2
France,23.5,23
Gabon,8.6,18.2
Gambia,4.8,12.4
Georgia,20,26
Germany,26.6,24.9
Ghana,4.1,15
Greece,26,28.7
Grenada,12.6,27.6
Guatemala,13.1,23.8
Guinea,3.3,9.9
Guinea-Bissau,4.5,11.8
Guyana,12.2,26.1
Haiti,16.4,24.3
Honduras,14.1,24.5
Hungary,29.9,27.5
Iceland,25.3,20.9
India,2.7,4.9
Indonesia,4.9,9
Iran,19.1,31.8
Iraq,21,33.8
Ireland,26.5,27.3
Israel,26.1,27.2
Italy,22.5,23.3
Jamaica,15,33.2
Japan,4.6,4.1
Jordan,26.6,40.4
Kazakhstan,18.8,23.4
Kenya,2.5,9.4
Kiribati,41.2,50
Kuwait,33,43.9
Kyrgyzstan,13.1,17.5
Laos,3.2,5.7
Latvia,22.9,28
Lebanon,27.4,35.3
Lesotho,3.7,22.8
Liberia,4.9,12.3
Libya,24.5,38.7
Lithuania,25.3,30.9
Luxembourg,26,22.4
Madagascar,2.6,6.3
Malawi,1.9,7.5
Malaysia,12.9,17.6
Maldives,5.4,10.3
Mali,3.9,10.4
Malta,30.9,31.2
Marshall Islands,47.9,56.9
Mauritania,6,16.6
Mauritius,5.9,16.8
Mexico,23.7,32.6
Fed. Sts. Micronesia,36.1,47.3
Monaco,NA,NA
Mongolia,16.7,22.4
Montenegro,24.5,25.2
Morocco,19,31.9
Mozambique,2.8,8.9
Myanmar,4,7.3
Namibia,6.5,22.7
Nauru,58.5,63
Nepal,2.5,4.8
Netherlands,22.7,23.4
New Zealand,31,32.9
Nicaragua,16.5,26.8
Niger,2.3,7.2
Nigeria,4.1,11.5
Niue,44.2,54.5
Norway,25.1,24.8
Oman,19.5,30.8
Pakistan,5.5,10.1
Palau,51.3,58.4
Panama,17.6,27.5
Papua New Guinea,15.2,23.7
Paraguay,16.1,21.9
Peru,14.7,23.5
Philippines,5,7
Poland,25.4,25.7
Portugal,22.1,24.2
Qatar,31.9,41.8
Republic of Korea,4.6,5.3
Republic of Moldova,16.9,23
Romania,24.9,24.2
Russian Federation,19.4,30.8
Rwanda,1.6,7.7
Saint Kitts and Nevis,15.4,30.5
Saint Lucia,12,27.2
Saint Vincent and the Grenadines,16.7,31
Samoa,38.2,53.2
San Marino,NA,NA
Sao Tome and Principe,6.3,14.8
Saudi Arabia,31,41.2
Senegal,3.3,11
Serbia,22.5,24.5
Seychelles,8.1,21.4
Sierra Leone,3.4,11.6
Singapore,6.2,7
Slovakia,22.5,22.3
Slovenia,21.4,23.6
Solomon Islands,16.3,24.7
Somalia,3.4,10.3
South Africa,14.5,38.5
Spain,27.1,27.2
Sri Lanka,3,7.7
Sudan,3.4,10.7
Suriname,19,33.9
Sweden,24.2,20
Switzerland,23.7,18.8
Syrian Arab Republic,19.3,32.4
Tajikistan,10.4,14.6
Thailand,7.5,13.8
Republic of North Macedonia,23.8,23.9
Timor-Leste,2.1,3.8
Togo,3.4,10.7
Tonga,39,52.6
Trinidad and Tobago,11.4,27.7
Tunisia,19.3,34.9
Turkey,24.2,39.7
Turkmenistan,15,19.9
Tuvalu,46.4,55.6
Uganda,1.5,6.8
Ukraine,23.2,28.4
United Arab Emirates,26.7,38.8
United Kingdom,28.6,30.4
United Republic of Tanzania,3.4,10.7
United States of America,36.5,38.2
Uruguay,25.3,32.1
Uzbekistan,12.9,17.7
Vanuatu,18.8,28.1
Venezuela,22.1,28.3
Vietnam,1.6,2.6
Republic of Yemen,9.9,18.2
Zambia,3,10
Zimbabwe,3.7,20.5
